property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,closest_train_station_id
2629,-37.812851,144.875579,10 Adaleigh Street,YARRAVILLE,MITCHELL,19996,1.306,,0,5855,2072,Maribyrnong,67,1583,1148100,11645,19996.0
62474,-37.829105,145.238813,10 Devon Avenue,HEATHMONT,HORSHAM,19871,0.512,17.08910891089109,1,3459,1027,Maroondah,80,1297,1083000,16322,19871.0
75515,-37.899528,145.048075,9 Kooringa Road,CARNEGIE,MELBOURNE,19941,0.849,13.927272727272728,1,4596,5791,Glen Eira,64,1287,1406500,30031,19941.0
22377,-37.749881,144.960006,24 White Street,COBURG,MOONEE VALLEY,19966,0.537,10.0,1,10323,4557,Moreland,63,1268,1129500,29021,19966.0
78258,-37.927869,145.174585,6 Whitehaven Crescent,MULGRAVE,MACEDON RANGES,19913,3.041,17.03585657370518,1,7213,1477,Monash,60,1348,1022600,22093,19913.0
44010,-37.713438,145.10559,1/205 Nepean Street,GREENSBOROUGH,GLEN EIRA,19985,1.081,22.39189189189189,1,7426,2533,Banyule,83,1524,984000,26045,19985.0
91286,-37.980361,145.04077,15 Coreen Avenue,BEAUMARIS,TOWONG,19866,1.948,18.83823529411765,1,5041,1732,Bayside,79,1845,1882800,17536,19866.0
10484,-37.78585052,144.9238586,38 Coronet Street,FLEMINGTON,WHITTLESEA,20040,0.479,4.8,1,1877,3086,Moonee Valley,62,1401,1069400,14523,20040.0
41160,-37.702149,145.060232,8 Elizabeth Grove,BUNDOORA,WODONGA,19984,2.295,19.841726618705035,1,8943,3243,Whittlesea,69,1172,876900,24119,19984.0
54979,-37.834402,145.068616,12 Westbourne Grove,CAMBERWELL,MELBOURNE,19851,0.208,10.3,1,7459,4358,Boroondara,77,2122,2235400,15537,19851.0
58896,-37.815195,145.177577,32 O'Shannessy Street,NUNAWADING,STONNINGTON,19899,0.647,14.655339805825243,1,4033,2270,Whitehorse,70,1202,1171100,20796,19899.0
3440,-37.817442,144.863497,37 Stanger Street,YARRAVILLE,MITCHELL,20022,2.026,7.9523809523809526,1,5855,2072,Maribyrnong,67,1583,1148100,11645,20022.0
29035,-37.8010731,145.0004394,42 Valiant Street,ABBOTSFORD,BANYULE,19975,0.568,8.23076923076923,1,2304,4706,Yarra,68,1797,1299400,4025,19975.0
55919,-37.8405821,145.0782377,70A Glyndon Road,CAMBERWELL,MELBOURNE,19850,0.446,11.181818181818182,1,7459,4358,Boroondara,77,2122,2235400,15537,19850.0
47054,-37.716602,145.168979,32 Nyora Road,ELTHAM,FRANKSTON,19987,1.894,26.24418604651163,1,6040,1782,Nillumbik,85,1923,1178700,28827,19987.0
54372,-37.829152,145.042268,3 Hunter Street,HAWTHORN,YARRA,19903,0.815,6.752380952380952,1,5753,11459,Boroondara,72,1627,2103800,19166,19903.0
21611,-37.75869751,144.9569397,88 Tinning Street,BRUNSWICK,MARIBYRNONG,19967,0.435,8.11111111111111,1,8835,8041,Moreland,62,1433,1265800,20155,19967.0
91710,-37.97451401,145.0393219,50 Morey Road,BEAUMARIS,TOWONG,19866,1.598,18.83823529411765,1,5041,1732,Bayside,79,1845,1882800,17536,19866.0
87044,-37.9146834,144.993452,7/17 Well Street,BRIGHTON,HUME,19951,0.255,,0,8625,6345,Bayside,77,2200,2483600,20135,19951.0
77473,-37.929904,145.160242,13 Bellevue,MULGRAVE,MACEDON RANGES,19914,2.109,15.875,1,7213,1477,Monash,60,1348,1022600,22093,19914.0
80776,-37.9849246,145.2088439,13/24 Rodd Street,DANDENONG,CARDINIA,19888,0.567,22.110294117647058,1,8074,9600,Greater Dandenong,48,899,685100,45248,19888.0
93124,-37.986449,145.083796,29 Robert Street,PARKDALE,STONNINGTON,19864,0.987,21.428571428571427,1,4160,2433,Kingston,76,1492,1341800,24045,19864.0
72269,-37.851677,145.27172,3 Beilby Street,BAYSWATER,INDIGO,19870,1.151,19.363636363636363,1,4737,3089,Knox,77,1186,865500,19945,19870.0
69067,-37.860817,145.03709,31 Dixon Street,MALVERN,BAW BAW,19944,0.914,7.886363636363637,1,3622,3241,Stonnington,78,2047,2337300,10201,19944.0
19924,-37.794226,144.957188,20 Bayles Street,PARKVILLE,MURRINDINDI,19970,1.513,6.333333333333333,1,1058,2943,Melbourne,71,1480,1849500,6692,19970.0
67975,-37.84781647,145.0087585,22 Ruabon Road,TOORAK,MANNINGHAM,19946,0.56,7.181818181818182,1,4088,5974,Stonnington,72,1977,2752300,12797,19946.0
87327,-37.94248581,145.0188751,12 James Crescent,HAMPTON,WYNDHAM,19948,1.53,,0,4651,2612,Bayside,78,1653,2032200,11231,19948.0
589,-37.79913712,144.8883057,205 Gordon Street,FOOTSCRAY,WHITTLESEA,20023,0.396,7.277777777777778,1,5286,6864,Maribyrnong,49,1181,869400,16926,20023.0
17944,-37.66736984,144.9460297,1 Washington Street,DALLAS,MOORABOOL,19960,0.157,16.6875,1,2207,315,Hume,58,762,514300,18510,19960.0
79298,-37.950902,145.159327,66 Sandown Road,SPRINGVALE,GREATER BENDIGO,19913,0.539,17.03585657370518,1,6280,4315,Greater Dandenong,36,884,895800,18147,19913.0
41370,-37.748986,145.070195,1/14 Edgar Street,HEIDELBERG,MONASH,19936,0.768,16.403973509933774,1,2066,1742,Banyule,77,1551,1213100,21826,19936.0
73438,-37.866747,145.282595,29A Pine Crescent,BORONIA,TOWONG,19869,0.718,20.794392523364486,1,8285,4281,Knox,79,1162,832500,20314,19869.0
15325,-37.738088,144.91551,44 Hayes Road,STRATHMORE,KNOX,20036,1.122,9.333333333333334,1,3101,749,Moonee Valley,81,1634,1643800,10591,20036.0
92334,-37.985182,145.052806,5 Sea Parade,MENTONE,WEST WIMMERA,19865,1.146,20.61904761904762,1,4507,3922,Kingston,76,1288,1332300,14158,19865.0
52937,-37.816085,144.99757,3 Bosisto Street,RICHMOND,EAST GIPPSLAND,19978,0.555,7.690476190476191,1,8875,13869,Yarra,65,1731,1389100,24112,19978.0
62992,-37.83381271,145.2503967,5 The Greenway,HEATHMONT,HORSHAM,19871,0.798,17.08910891089109,1,3459,1027,Maroondah,80,1297,1083000,16322,19871.0
63719,-37.783282,145.264964,18 Melton Grove,CROYDON,CARDINIA,19878,1.929,20.65573770491803,1,9705,5573,Maroondah,81,1267,902900,37491,19878.0
29877,-37.77517319,145.0141602,3 Hillside Avenue,NORTHCOTE,MURRINDINDI,19930,0.506,12.693877551020408,1,8461,5349,Darebin,69,1563,1630800,21000,19930.0
50533,-37.7572403,145.1383667,27 Mandella Street,TEMPLESTOWE,MOUNT ALEXANDER,19986,4.899,23.86,1,5734,1487,Manningham,64,1789,1759800,16180,19986.0
53973,-37.8139534,145.020874,1/10 Pine Street,HAWTHORN,YARRA,19905,0.894,5.05,1,5753,11459,Boroondara,72,1627,2103800,19166,19905.0
71605,-37.857707,145.216929,5 Caulfield Court,WANTIRNA,CENTRAL GOLDFIELDS,19871,4.074,17.08910891089109,1,4861,1165,Knox,70,1463,1071300,31889,19871.0
16501,-37.69836426,144.9389191,133 Morell Street,GLENROY,WYNDHAM,19961,1.776,13.8,1,7882,4021,Moreland,66,1004,743900,27707,19961.0
91249,-37.984895,145.034868,14 Agnes Street,BEAUMARIS,TOWONG,19866,2.666,18.83823529411765,1,5041,1732,Bayside,79,1845,1882800,17536,19866.0
614,-37.79486084,144.8936005,21 White Street,FOOTSCRAY,WHITTLESEA,20024,0.871,6.733333333333333,1,5286,6864,Maribyrnong,49,1181,869400,16926,20024.0
60942,-37.8416723,145.1844218,8 Kingsley Avenue,VERMONT,CENTRAL GOLDFIELDS,19899,2.491,14.655339805825243,1,3636,1030,Whitehorse,71,1459,1186300,20802,19899.0
44016,-37.714788,145.109591,1/24 Plenty Lane,GREENSBOROUGH,GLEN EIRA,19986,1.052,23.86,1,7426,2533,Banyule,83,1524,984000,26045,19986.0
69320,-37.844971,145.037464,82 Elizabeth Street,MALVERN,BAW BAW,19911,0.617,,0,3622,3241,Stonnington,78,2047,2337300,10201,19911.0
172,-37.797152,144.890484,102 Creswick Street,FOOTSCRAY,WHITTLESEA,20024,0.602,6.733333333333333,1,5286,6864,Maribyrnong,49,1181,869400,16926,20024.0
81474,-37.984404,145.227526,7 Sarona Street,DANDENONG,CARDINIA,19888,1.68,22.110294117647058,1,8074,9600,Greater Dandenong,48,899,685100,45248,19888.0
85169,-37.87994766,144.9803162,99 Addison Street,ELWOOD,MORELAND,19955,1.386,,0,3628,8403,Port Phillip,72,1715,1874000,12829,19955.0
46665,-37.711138,145.152636,154 Bible Street,ELTHAM,FRANKSTON,19987,0.502,26.24418604651163,1,6040,1782,Nillumbik,85,1923,1178700,28827,19987.0
86056,-37.89621,145.002314,12 Hamilton Street,BRIGHTON,HUME,19953,0.172,,0,8625,6345,Bayside,77,2200,2483600,20135,19953.0
40473,-37.698119,145.06595,37 Cameron Parade,BUNDOORA,WODONGA,19984,2.124,19.841726618705035,1,8943,3243,Whittlesea,69,1172,876900,24119,19984.0
10889,-37.7859237,144.9294582,8 Finsbury Street,FLEMINGTON,WHITTLESEA,20040,0.162,4.8,1,1877,3086,Moonee Valley,62,1401,1069400,14523,20040.0
54521,-37.836665,145.04204,426 Auburn Road,HAWTHORN,YARRA,19910,0.83,,0,5753,11459,Boroondara,72,1627,2103800,19166,19910.0
31756,-37.73941422,145.0157166,115 Murray Road,PRESTON,BOROONDARA,20012,1.34,16.176470588235293,1,11418,7672,Darebin,63,1155,1075700,27067,20012.0
83266,-37.885691,145.243141,65 Frudal Crescent,KNOXFIELD,SOUTHERN GRAMPIANS,19869,4.586,20.794392523364486,1,2723,1042,Knox,76,1310,909600,6617,19869.0
78516,-37.938486,145.150688,10 Glendale Road,SPRINGVALE,GREATER BENDIGO,19914,1.041,15.875,1,6280,4315,Greater Dandenong,36,884,895800,18147,19914.0
2924,-37.81454849,144.8687592,160 Roberts Street,YARRAVILLE,MITCHELL,20022,1.778,7.9523809523809526,1,5855,2072,Maribyrnong,67,1583,1148100,11645,20022.0
12783,-37.697734,144.755301,26 Chris Court,HILLSIDE,GREATER DANDENONG,20000,1.705,16.304347826086957,1,4717,798,Melton,64,1491,867300,27356,20000.0
24100,-37.71016,144.970481,18 Pitt Street,FAWKNER,MONASH,19962,1.006,12.785714285714286,1,4754,1266,Moreland,53,865,745500,12899,19962.0
59101,-37.825649,145.173413,7 Lewis Court,NUNAWADING,STONNINGTON,19899,0.577,14.655339805825243,1,4033,2270,Whitehorse,70,1202,1171100,20796,19899.0
80703,-37.985054,145.225841,10 Ross Street,DANDENONG,CARDINIA,19888,1.516,22.110294117647058,1,8074,9600,Greater Dandenong,48,899,685100,45248,19888.0
20903,-37.764161,144.956946,26a Cliff Street,BRUNSWICK,MARIBYRNONG,19968,0.459,7.125,1,8835,8041,Moreland,62,1433,1265800,20155,19968.0
92320,-37.979945,145.085475,4A Daniel Court,MENTONE,WEST WIMMERA,19864,1.668,21.428571428571427,1,4507,3922,Kingston,76,1288,1332300,14158,19864.0
29109,-37.807494,144.997807,70 William Street,ABBOTSFORD,BANYULE,19976,0.486,8.267857142857142,1,2304,4706,Yarra,68,1797,1299400,4025,19976.0
17518,-37.71512,144.945256,6/75 South Street,HADFIELD,WYNDHAM,19962,1.347,12.785714285714286,1,2326,712,Moreland,66,1004,805000,27707,19962.0
58398,-37.82829666,145.1529236,98 Blackburn Road,BLACKBURN,GREATER GEELONG,19898,0.951,14.05703422053232,1,4821,2501,Whitehorse,75,1387,1485900,27564,19898.0
76987,-37.923747,145.125302,75 Kanooka Grove,CLAYTON,HINDMARSH,19915,0.431,14.25108225108225,1,5171,5343,Monash,48,962,1017200,18901,19915.0
67782,-37.774021,145.348677,95 Lakeview Drive,LILYDALE,FRANKSTON,19876,2.061,26.917525773195877,1,5989,2379,Yarra Ranges,82,1284,908900,13615,19876.0
21442,-37.778476,144.966349,631 Park Street,BRUNSWICK,MARIBYRNONG,19969,0.776,7.142857142857143,1,8835,8041,Moreland,62,1433,1265800,20155,19969.0
46117,-37.722004,145.113678,48 Para Road,MONTMORENCY,PORT PHILLIP,19986,1.017,23.86,1,3368,1434,Banyule,87,1457,1111000,8154,19986.0
31397,-37.76268,145.005282,63 St David Street,THORNBURY,LATROBE,20015,0.741,13.214285714285714,1,6018,4275,Darebin,63,1275,1361700,16671,20015.0
5821,-37.792801,144.851137,6 Beachley Street,BRAYBROOK,HUME,20022,1.263,7.9523809523809526,1,2822,1654,Maribyrnong,52,792,755400,6573,20022.0
33656,-37.711175,145.01691,115 Royal Parade,RESERVOIR,EAST GIPPSLAND,20009,0.746,19.1,1,16913,8713,Darebin,63,972,861800,45591,20009.0
4962,-37.86958313,144.8251495,171 Queen Street,ALTONA,BRIMBANK,19926,0.479,,0,4843,2394,Hobsons Bay,70,1160,1139500,11742,19926.0
50610,-37.751815,145.131824,63 Porter Street,TEMPLESTOWE,MOUNT ALEXANDER,19986,4.165,23.86,1,5734,1487,Manningham,64,1789,1759800,16180,19986.0
32155,-37.736356,144.992049,1A Margtmary Avenue,PRESTON,BOROONDARA,20012,0.789,16.176470588235293,1,11418,7672,Darebin,63,1155,1075700,27067,20012.0
82785,-37.903382,145.268229,44 Kilcunda Drive,ROWVILLE,BALLARAT,19868,3.385,21.208695652173912,1,9231,1496,Knox,71,1699,1069100,28725,19868.0
66668,-37.767972,145.321619,7 Wainewright Avenue,MOOROOLBARK,WEST WIMMERA,19877,2.036,22.9618320610687,1,7655,1413,Yarra Ranges,80,1360,874500,18998,19877.0
81835,-37.9981,145.238871,16 Oak Avenue,DOVETON,HINDMARSH,19888,2.712,22.110294117647058,1,3150,953,Casey,59,819,602200,9801,19888.0
90371,-37.969099,145.053005,25 Glebe Avenue,CHELTENHAM,YARRA RANGES,19866,0.305,18.83823529411765,1,8087,5856,Kingston,74,1233,1167300,18907,19866.0
67912,-37.846981,145.003796,188 Williams Road,TOORAK,MANNINGHAM,19947,0.303,6.618181818181818,1,4088,5974,Stonnington,72,1977,2752300,12797,19947.0
11139,-37.778428,144.936048,142 Mooltan Street,TRAVANCORE,WHITEHORSE,19971,1.119,5.6,1,415,1693,Moonee Valley,67,1512,1386700,17187,19971.0
50425,-37.771695,145.099614,9  Walter Street,BULLEEN,MARIBYRNONG,19935,3.793,15.848101265822784,1,4269,979,Manningham,58,1225,1322600,10590,19935.0
